Country,Area,Bedrooms,AssumedSizeSqm,CityCount,MedianMonthlyRentUSD,MedianPricePerSqmUSD,MedianEstimatedPurchasePriceUSD,MedianGrossRentalYieldPct
South Korea,City Centre,1,50,1,869.88,28472.67,1423633.5,
South Korea,City Centre,3,110,1,2431.52,28472.67,3131993.7,
South Korea,Outside of Centre,1,50,1,608.36,11494.5,574725.0,1.2702
South Korea,Outside of Centre,3,110,1,1260.22,11494.5,1264395.0,1.196
Spain,City Centre,1,50,12,1149.45,4819.82,240990.75,5.8929
Spain,City Centre,3,110,12,2039.89,4819.82,530179.65,4.49
Spain,Outside of Centre,1,50,12,951.16,2513.35,125667.25,8.5444
Spain,Outside of Centre,3,110,12,1615.66,2513.35,276467.95,5.7272
Sri Lanka,City Centre,1,50,1,608.4,3693.69,184684.5,3.9531
Sri Lanka,City Centre,3,110,1,1498.81,3693.69,406305.9,4.4266
Sri Lanka,Outside of Centre,1,50,1,271.65,1183.13,59156.5,5.5105
Sri Lanka,Outside of Centre,3,110,1,431.69,1183.13,130144.3,3.9804
Sweden,City Centre,1,50,3,1045.91,6277.67,313883.5,3.9986
Sweden,City Centre,3,110,3,1813.55,6277.67,690543.7,3.1515
Sweden,Outside of Centre,1,50,3,931.55,3504.75,175237.5,6.0414
Sweden,Outside of Centre,3,110,3,1409.16,3504.75,385522.5,4.3862
Switzerland,City Centre,1,50,6,2176.8,18611.53,930576.5,2.706
Switzerland,City Centre,3,110,6,3951.08,18611.53,2047268.3,2.3693
Switzerland,Outside of Centre,1,50,6,1652.59,14731.67,736583.5,2.9866
Switzerland,Outside of Centre,3,110,6,3064.23,14731.67,1620483.7,2.5288
Taiwan,City Centre,1,50,2,648.86,8512.37,425618.5,1.9245
Taiwan,City Centre,3,110,2,1272.53,8512.37,936360.7,1.8524
Taiwan,Outside of Centre,1,50,2,383.26,5433.44,271672.0,1.8207
Taiwan,Outside of Centre,3,110,2,820.54,5433.44,597678.4,1.8502
